Nome;Citações;H-index;i10-index;N_Publicacoes;Status
Maria João da Costa Antunes Inácio IPT Portugal;;;;;Não encontrado
Maria João Bom Mendes dos Santos IPT Portugal;;;;;Não encontrado
Maria Madalena Giraldes Oudinot Larcher IPT Portugal;;;;;Não encontrado
Maria Manuela Morgado Fernandes Oliveira IPT Portugal;;;;;Não encontrado
Maria Teresa da Luz Silveira IPT Portugal;;;;;Não encontrado
Maria Teresa Ribeiro Pereira Desterro IPT Portugal;;;;;Não encontrado
Mário Hélder Rodrigues Gomes IPT Portugal;;;;;Não encontrado
Marta Margarida Santos Dionísio IPT Portugal;;;;;Não encontrado
Marta Sicurella IPT Portugal;;;;;Não encontrado
Miguel Alexandre Pereira Sanches IPT Portugal;;;;;Não encontrado
Miguel Duarte Antunes da Silva Jorge IPT Portugal;;;;;Não encontrado
Natércia Maria Ferreira dos Santos IPT Portugal;;;;;Não encontrado
Nuno José Valente Lopes Madeira IPT Portugal;;;;;Não encontrado
Olinda Maria dos Santos Sequeira IPT Portugal;;;;;Não encontrado
Paula Alexandra Geraldes Portugal IPT Portugal;;;;;Não encontrado
Paula Alexandra da Cruz Silva Pina Almeida IPT Portugal;;;;;Não encontrado
Paula Alexandra Costa Leite Pinto Pereira IPT Portugal;;;;;Não encontrado
Paulo Alexandre Gomes dos Santos IPT Portugal;;;;;Não encontrado
Paulo Manuel Machado Coelho IPT Portugal;;;;;Não encontrado
Pedro Augusto Nogueira Marques IPT Portugal;;;;;Não encontrado
Pedro Daniel Frazão Correia IPT Portugal;;;;;Não encontrado
Pedro Manuel Granchinho de Matos IPT Portugal;;;;;Não encontrado
Pierluigi Rosina IPT Portugal;;;;;Não encontrado
Raquel Palma Tomé de Sousa Botelho Louro IPT Portugal;;;;;Não encontrado
Raul Manuel Domingos Monteiro IPT Portugal;;;;;Não encontrado
Regina Aparecida Delfino IPT Portugal;;;;;Não encontrado
Renato Heitor Correia Domingues IPT Portugal;;;;;Não encontrado
Ricardo Jorge Viegas Covas IPT Portugal;;;;;Não encontrado
Ricardo Pereira Triães IPT Portugal;;;;;Não encontrado
Rita Ribeiro de Carvalho Ferreira Anastácio IPT Portugal;;;;;Não encontrado
Rosa Brígida dos Quadros Fernandes IPT Portugal;;;;;Não encontrado
Rui Manuel Domingos Gonçalves IPT Portugal;;;;;Não encontrado
Rui Miguel Sardinha Proença IPT Portugal;;;;;Não encontrado
Sandra Maria Gonçalves Villas-Boas Jardim IPT Portugal;;;;;Não encontrado
Sérgio Paulo Leal Nunes IPT Portugal;;;;;Não encontrado
Silvério Manuel Domingues Figueiredo IPT Portugal;;;;;Não encontrado
Sílvio Manuel da Rocha Brito IPT Portugal;;;;;Não encontrado
Sílvio Manuel Valente da Silva IPT Portugal;;;;;Não encontrado
Susana Isabel Caetano Domingos IPT Portugal;;;;;Não encontrado
Valentim Maria Brunheta Nunes IPT Portugal;;;;;Não encontrado
Valter José Gonçalves Bouça IPT Portugal;;;;;Não encontrado
Valter Nuno Garcez da Silva Ventura IPT Portugal;;;;;Não encontrado
Vasco Renato Marques Gestosa da Silva IPT Portugal;;;;;Não encontrado
Vasco Ribeiro dos Santos IPT Portugal;;;;;Não encontrado
Vítor Dinis Carita de Jesus IPT Portugal;;;;;Não encontrado
